county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Clackamas,362,18,9,226,540,29.5,211,521,28.83,-0.67,true,Dow,4.4,219,516,29.8,0.3,Ashland,4.0
Clackamas,363,51,,732,1408,34.21,,,,,false,,,,,,,,
Clackamas,364,52,,92,171,34.98,80,174,31.5,-3.48,true,Walden Poublon,3.4,,,,,,
Clackamas,371,52,,92,149,38.17,77,164,31.95,-6.22,true,Walden Poublon,0.0,,,,,,
Clackamas,372,51,,12,32,27.27,,,,,false,,,,,,,,
Clackamas,373,52,,1940,1785,52.08,1742,1872,48.2,-3.88,true,Walden Poublon,3.0,,,,,,
Clackamas,374,52,,0,0,,0,0,,,false,Walden Poublon,,,,,,,
Clackamas,400,48,,1628,2464,39.78,1441,2566,35.96,-3.82,true,H. Nguyen,2.1,,,,,,
Clackamas,403,51,,580,796,42.15,,,,,false,,,,,,,,
Clackamas,404,52,,1250,2483,33.49,1046,2539,29.18,-4.31,true,Walden Poublon,4.0,,,,,,
Clackamas,405,48,,833,1367,37.86,733,1422,34.01,-3.85,true,H. Nguyen,2.0,,,,,,
Clackamas,406,52,,264,674,28.14,214,688,23.73,-4.41,true,Walden Poublon,3.8,,,,,,
Clackamas,410,39,,1930,1385,58.22,1753,1404,55.53,-2.69,true,Dobson,4.8,,,,,,
Clackamas,411,39,,2294,1800,56.03,2024,1866,52.03,-4.0,true,Dobson,5.0,,,,,,
Clackamas,412,48,,912,1109,45.13,832,1137,42.25,-2.88,true,H. Nguyen,2.6,,,,,,
Clackamas,413,39,,115,91,55.83,106,89,54.36,-1.47,true,Dobson,5.3,,,,,,
Clackamas,414,39,,369,353,51.11,344,347,49.78,-1.33,true,Dobson,4.3,,,,,,
Clackamas,415,51,,219,212,50.81,,,,,false,,,,,,,,
Clackamas,416,39,,1439,1056,57.68,1265,1080,53.94,-3.74,true,Dobson,6.0,,,,,,
Clackamas,417,39,,560,625,47.26,513,630,44.88,-2.38,true,Dobson,3.5,,,,,,
Clackamas,418,51,,449,623,41.88,,,,,false,,,,,,,,
Clackamas,419,39,,1189,827,58.98,1068,878,54.88,-4.1,true,Dobson,3.5,,,,,,
Clackamas,420,41,,1088,528,67.33,1019,499,67.13,-0.2,true,Gamba,6.1,,,,,,
Clackamas,421,39,,1467,860,63.04,1367,823,62.42,-0.62,true,Dobson,5.9,,,,,,
Clackamas,422,39,,2602,1453,64.17,2500,1426,63.68,-0.49,true,Dobson,3.2,,,,,,
Clackamas,500,41,,815,381,68.14,774,351,68.8,0.66,true,Gamba,5.9,,,,,,
Clackamas,501,41,,2847,921,75.56,2708,879,75.49,-0.07,true,Gamba,4.8,,,,,,
Clackamas,502,41,,2862,1275,69.18,2639,1237,68.09,-1.09,true,Gamba,6.3,,,,,,
Clackamas,503,40,,2248,1246,64.34,2156,1309,62.22,-2.12,true,Hartman,0.8,,,,,,
Clackamas,504,40,,2814,1742,61.76,2696,1710,61.19,-0.57,true,Hartman,3.3,,,,,,
Clackamas,506,40,,1513,1268,54.4,1452,1230,54.14,-0.26,true,Hartman,3.6,,,,,,
Clackamas,510,40,,430,487,46.89,402,488,45.17,-1.72,true,Hartman,2.9,,,,,,
Clackamas,511,51,,830,1344,38.18,,,,,false,,,,,,,,
Clackamas,512,51,,903,1091,45.29,,,,,false,,,,,,,,
Clackamas,513,40,,75,71,51.37,69,77,47.26,-4.11,true,Hartman,0.0,,,,,,
Clackamas,514,51,,2152,3185,40.32,,,,,false,,,,,,,,
Clackamas,515,18,9,481,945,33.73,363,994,26.75,-6.98,true,Dow,4.8,389,975,28.52,-5.21,Ashland,4.3
Clackamas,516,51,,848,1188,41.65,,,,,false,,,,,,,,
Clackamas,517,18,9,572,1453,28.25,480,1436,25.05,-3.2,true,Dow,5.4,499,1428,25.9,-2.35,Ashland,4.8
Clackamas,518,51,,719,1483,32.65,,,,,false,,,,,,,,
Clackamas,600,40,,2758,1958,58.48,2673,1880,58.71,0.23,true,Hartman,3.5,,,,,,
Clackamas,602,40,,1972,1740,53.12,1909,1683,53.15,0.03,true,Hartman,3.2,,,,,,
Clackamas,604,40,,3242,3099,51.13,3038,3069,49.75,-1.38,true,Hartman,3.7,,,,,,
Clackamas,606,40,,1168,1004,53.78,1167,954,55.02,1.24,true,Hartman,2.3,,,,,,
Clackamas,608,40,,1437,1319,52.14,1337,1277,51.15,-0.99,true,Hartman,5.2,,,,,,
Clackamas,614,40,,1274,945,57.41,1247,893,58.27,0.86,true,Hartman,3.6,,,,,,
Clackamas,616,40,,2092,1470,58.73,2049,1383,59.7,0.97,true,Hartman,3.6,,,,,,
Clackamas,618,40,,347,196,63.9,326,207,61.16,-2.74,true,Hartman,1.8,,,,,,
Clackamas,620,40,,150,106,58.59,137,111,55.24,-3.35,true,Hartman,3.1,,,,,,
Clackamas,622,41,,1632,634,72.02,1541,620,71.31,-0.71,true,Gamba,4.6,,,,,,
Clackamas,626,41,,3062,935,76.61,2937,914,76.27,-0.34,true,Gamba,3.7,,,,,,
Clackamas,628,39,,546,325,62.69,525,330,61.4,-1.29,true,Dobson,1.8,,,,,,
Clackamas,630,41,,3690,1439,71.94,3481,1423,70.98,-0.96,true,Gamba,4.4,,,,,,
Clackamas,115/116,41,,194,54,78.23,163,73,69.07,-9.16,true,Gamba,4.8,,,,,,
Clatsop,Arch Cape,32,,177.0,45.0,79.73,164.0,54.0,75.23,-4.5,true,Davis,1.8,,,,,,
Clatsop,Astoria East,32,,1227.0,494.0,71.3,1158.0,580.0,66.63,-4.67,true,Davis,-1.0,,,,,,
Clatsop,Astoria South,32,,661.0,258.0,71.93,603.0,312.0,65.9,-6.03,true,Davis,0.4,,,,,,
Clatsop,Astoria West,32,,1944.0,661.0,74.63,1796.0,793.0,69.37,-5.26,true,Davis,0.6,,,,,,
Clatsop,Cannon Beach,32,,696.0,267.0,72.27,611.0,350.0,63.58,-8.69,true,Davis,0.2,,,,,,
Clatsop,Clatsop Plains North,32,,341.0,419.0,44.87,291.0,464.0,38.54,-6.33,true,Davis,0.7,,,,,,
Clatsop,Clatsop Plains South,32,,627.0,639.0,49.53,546.0,699.0,43.86,-5.67,true,Davis,1.7,,,,,,
Clatsop,Elsie,32,,116.0,133.0,46.59,104.0,148.0,41.27,-5.32,true,Davis,-1.2,,,,,,
Clatsop,Gearhart,32,,803.0,492.0,62.01,665.0,604.0,52.4,-9.61,true,Davis,2.0,,,,,,
Clatsop,Hamlet,32,,139.0,127.0,52.26,120.0,145.0,45.28,-6.98,true,Davis,0.4,,,,,,
Clatsop,Jewell,32,,150.0,214.0,41.21,138.0,208.0,39.88,-1.33,true,Davis,4.9,,,,,,
Clatsop,John Day / Walluski,32,,343.0,352.0,49.35,302.0,398.0,43.14,-6.21,true,Davis,-0.7,,,,,,
Clatsop,Knappa,32,,461.0,629.0,42.29,406.0,669.0,37.77,-4.52,true,Davis,1.4,,,,,,
Clatsop,Lewis & Clark / Cha*,32,,588.0,809.0,42.09,505.0,866.0,36.83,-5.26,true,Davis,1.9,,,,,,
Clatsop,Necanicum,32,,151.0,185.0,44.94,124.0,188.0,39.74,-5.2,true,Davis,7.1,,,,,,
Clatsop,Olney,32,,137.0,298.0,31.49,122.0,303.0,28.71,-2.78,true,Davis,2.3,,,,,,
Clatsop,Seaside East,32,,527.0,375.0,58.43,449.0,426.0,51.31,-7.12,true,Davis,3.0,,,,,,
Clatsop,Seaside North,32,,337.0,207.0,61.95,301.0,242.0,55.43,-6.52,true,Davis,0.2,,,,,,
Clatsop,Seaside South,32,,743.0,458.0,61.87,667.0,512.0,56.57,-5.3,true,Davis,1.8,,,,,,
Clatsop,Seaside West,32,,364.0,224.0,61.9,332.0,241.0,57.94,-3.96,true,Davis,2.6,,,,,,
Clatsop,Stanley Acres,32,,83.0,113.0,42.35,72.0,120.0,37.5,-4.85,true,Davis,2.0,,,,,,
Clatsop,Svensen,32,,381.0,630.0,37.69,345.0,644.0,34.88,-2.81,true,Davis,2.2,,,,,,
Clatsop,Warrenton East,32,,437.0,417.0,51.17,386.0,433.0,47.13,-4.04,true,Davis,4.1,,,,,,
Clatsop,Warrenton West,32,,991.0,1233.0,44.56,875.0,1338.0,39.54,-5.02,true,Davis,0.5,,,,,,
Clatsop,Westport,32,,109.0,234.0,31.78,101.0,226.0,30.89,-0.89,true,Davis,4.7,,,,,,
Columbia,01 CITY OF CLATSKANIE,32,,349.0,519.0,40.21,305.0,554.0,35.51,-4.7,true,Davis,1.0,,,,,,
Columbia,04 N CLATSKANIE-MARSHLAND,32,,230.0,332.0,40.93,216.0,342.0,38.71,-2.22,true,Davis,0.7,,,,,,
Columbia,05 S CLATSKANIE,31,,176.0,392.0,30.99,160.0,372.0,30.08,-0.91,true,Gutierrez,6.3,,,,,,
Columbia,06 DELENA,31,,407.0,770.0,34.58,351.0,750.0,31.88,-2.7,true,Gutierrez,6.5,,,,,,
Columbia,08 GOBLE,31,,277.0,416.0,39.97,238.0,416.0,36.39,-3.58,true,Gutierrez,5.6,,,,,,
Columbia,10 MILTON,31,,370.0,445.0,45.4,305.0,432.0,41.38,-4.02,true,Gutierrez,9.6,,,,,,
Columbia,12 McNULTY,31,,431.0,579.0,42.67,348.0,580.0,37.5,-5.17,true,Gutierrez,8.1,,,,,,
Columbia,14 QUINCY,31,,187.0,329.0,36.24,172.0,305.0,36.06,-0.18,true,Gutierrez,7.6,,,,,,
Columbia,15 RAINIER,31,,392.0,619.0,38.77,349.0,591.0,37.13,-1.64,true,Gutierrez,7.0,,,,,,
Columbia,17 W RAINIER,31,,159.0,270.0,37.06,131.0,274.0,32.35,-4.71,true,Gutierrez,5.6,,,,,,
Columbia,18 E RAINIER,31,,77.0,114.0,40.31,72.0,116.0,38.3,-2.01,true,Gutierrez,1.6,,,,,,
Columbia,19 S WARREN,31,,422.0,530.0,44.33,333.0,573.0,36.75,-7.58,true,Gutierrez,4.8,,,,,,
Columbia,20 N WARREN,31,,275.0,374.0,42.37,227.0,382.0,37.27,-5.1,true,Gutierrez,6.2,,,,,,
Columbia,21 ST HELENS ONE,31,,1108.0,1164.0,48.77,954.0,1149.0,45.36,-3.41,true,Gutierrez,7.4,,,,,,
Columbia,24 ST HELENS FOUR,31,,1133.0,1252.0,47.51,948.0,1276.0,42.63,-4.88,true,Gutierrez,6.8,,,,,,
Columbia,26 ST HELENS SIX,31,,1088.0,1420.0,43.38,932.0,1423.0,39.58,-3.8,true,Gutierrez,6.1,,,,,,
Columbia,31 SCAPPOOSE ONE,31,,332.0,355.0,48.33,269.0,382.0,41.32,-7.01,true,Gutierrez,5.2,,,,,,
Columbia,32 SCAPPOOSE TWO,31,,1159.0,1087.0,51.6,966.0,1139.0,45.89,-5.71,true,Gutierrez,6.3,,,,,,
Columbia,34 SCAPPOOSE FOUR,31,,672.0,613.0,52.3,550.0,642.0,46.14,-6.16,true,Gutierrez,7.2,,,,,,
Columbia,35 SE SCAPPOOSE,31,,517.0,567.0,47.69,450.0,563.0,44.42,-3.27,true,Gutierrez,6.5,,,,,,
Columbia,36 CANYON,31,,219.0,212.0,50.81,169.0,243.0,41.02,-9.79,true,Gutierrez,4.4,,,,,,
Columbia,38 W SCAPPOOSE,31,,222.0,269.0,45.21,186.0,271.0,40.7,-4.51,true,Gutierrez,6.9,,,,,,
Columbia,39 SAUVIE ISLAND,31,,29.0,28.0,50.88,23.0,28.0,45.1,-5.78,true,Gutierrez,10.5,,,,,,
Columbia,40 YANKTON,31,,396.0,665.0,37.32,322.0,679.0,32.17,-5.15,true,Gutierrez,5.7,,,,,,
