county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Washington,401,28,,1449.0,345.0,80.77,1378.0,361.0,79.24,-1.53,True,Grayber,3.1,,,,,,
Washington,402,25,,3973.0,2125.0,65.15,3756.0,2241.0,62.63,-2.52,True,Bowman,1.7,,,,,,
Washington,403,34,,904.0,395.0,69.59,830.0,411.0,66.88,-2.71,True,Reynolds,4.5,,,,,,
Washington,404,25,,3926.0,1688.0,69.93,3802.0,1704.0,69.05,-0.88,True,Bowman,1.9,,,,,,
Washington,405,25,,5037.0,2175.0,69.84,4707.0,2305.0,67.13,-2.71,True,Bowman,2.8,,,,,,
Washington,406,27,,1575.0,351.0,81.78,1488.0,373.0,79.96,-1.82,True,Helm,3.4,,,,,,
Washington,407,33,,637.0,191.0,76.93,531.0,236.0,69.23,-7.7,True,Jones-Isadore,7.4,,,,,,
Washington,408,27,,235.0,66.0,78.07,212.0,79.0,72.85,-5.22,True,Helm,3.3,,,,,,
Washington,409,25,,3006.0,1300.0,69.81,2859.0,1319.0,68.43,-1.38,True,Bowman,3.0,,,,,,
Washington,410,25,,810.0,433.0,65.16,790.0,420.0,65.29,0.12,True,Bowman,2.7,,,,,,
Washington,411,26,,866.0,359.0,70.69,807.0,395.0,67.14,-3.56,True,Neron,1.9,,,,,,
Washington,412,36,18,1102.0,556.0,66.47,1014.0,597.0,62.94,-3.52,True,Pham,2.8,952,658,59.13,-7.34,Campos,2.9
Washington,413,26,,949.0,427.0,68.97,869.0,495.0,63.71,-5.26,True,Neron,0.9,,,,,,
Washington,414,25,,331.0,177.0,65.16,309.0,173.0,64.11,-1.05,True,Bowman,5.1,,,,,,
Washington,415,26,,544.0,265.0,67.24,505.0,288.0,63.68,-3.56,True,Neron,2.0,,,,,,
Washington,416,36,18,564.0,239.0,70.24,534.0,237.0,69.26,-0.98,True,Pham,4.0,497,276,64.29,-5.95,Campos,3.7
Washington,417,25,,252.0,135.0,65.12,240.0,132.0,64.52,-0.6,True,Bowman,3.9,,,,,,
